Cluster category,Cluster,Entries per cluster,General category
Diagnoses and findings (including resolved and remission),National diabetes audit (NDA) diabetes mellitus codes to determine diabetes type for the audit,46,Diabetes
Diagnoses and findings (including resolved and remission),Codes for type 1 diabetes,25,Diabetes
Diagnoses and findings (including resolved and remission),Codes for diabetes (non-type 1),14,Diabetes
Diagnoses and findings (including resolved and remission),Codes for diabetes type 2,14,Diabetes
Diagnoses and findings (including resolved and remission),Diabetes Type 2 codes used in National Audit,21,Diabetes
Patient factors,Active and inactive ethnicity codes,6,Ethnicity
Observation measurement assessment and screening,Assessment for dementia codes,1597,Neurology assessments
Review and monitoring,Epilepsy seizure frequency codes,520,Neurology assessments
Diagnoses and findings (including resolved and remission),Depression diagnosis codes,1,Neurology assessments
Declines contraindications and other exceptions,Statin contraindications (expiring),14,Other diagnoses
Management and treatment,Palliative care codes,3,Other diagnoses
Diagnoses and findings (including resolved and remission),Electrocardiogram (ECG) indicating atrial fibrillation or flutter codes,4,Other tests
Declines contraindications and other exceptions,Immunosuppression codes (persisting),19,Other diagnoses
Diagnoses and findings (including resolved and remission),Abdominal aortic aneurysm diagnosis codes,2,Other diagnoses
Diagnoses and findings (including resolved and remission),Falls codes,2,Other diagnoses
Diagnoses and findings (including resolved and remission),Atrial fibrillation codes,1,Other diagnoses
Observation measurement assessment and screening,Breast cancer screening codes,1,Other diagnoses
Diagnoses and findings (including resolved and remission),Codes for heart failure due to left ventricular systolic dysfunction (LVSD),1,Other diagnoses
Investigations test and results,Dual energy X-ray absorptiometry (DXA) scan result with a T score value,212,Other tests
Investigations test and results,Serum fructosamine codes,90,Other tests
Investigations test and results,Echocardiogram (Echo) codes,11,Other tests
Observation measurement assessment and screening,Body mass index (BMI) codes,771546,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) codes with an associated BMI value,382003,"BMI, weight and height"
Observation measurement assessment and screening,National diabetes audit (NDA) body mass index (BMI) codes,385893,"BMI, weight and height"
Observation measurement assessment and screening,Weight measured,82239,"BMI, weight and height"
Observation measurement assessment and screening,Height measured,46339,"BMI, weight and height"
Investigations test and results,Feet examination (neuropathy testing or peripheral pulses) codes,1993,Other physical assessments
Observation measurement assessment and screening,Body mass index (BMI) healthy codes,524,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) obese codes,1741,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) codes >= 30 without an associated BMI value,1741,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) overweight codes,625,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) codes >= 40 without an associated BMI value,72,"BMI, weight and height"
Observation measurement assessment and screening,Body mass index (BMI) underweight codes,63,"BMI, weight and height"
Observation measurement assessment and screening,Codes for Medical Research Council (MRC) breathlessness scale score greater than or equal to 3,8,Other physical assessments
Observation measurement assessment and screening,Codes for Medical Research Council (MRC) breathlessness scale score,9,Other physical assessments
Diagnoses and findings (including resolved and remission),Codes indicating the patient is pregnant,22,Pregnancy
Diagnoses and findings (including resolved and remission),Pregnant patients at any stage of pregnancy,22,Pregnancy
Investigations test and results,Peak expiratory flow rate (PEFR) codes,10495,Respiratory assessments
Observation measurement assessment and screening,Asthma exercise codes,674,Respiratory assessments
Observation measurement assessment and screening,Asthma day symptom codes,600,Respiratory assessments
Observation measurement assessment and screening,Asthma sleep codes,399,Respiratory assessments
Diagnoses and findings (including resolved and remission),Asthma emergency admission codes,61,Respiratory assessments
Diagnoses and findings (including resolved and remission),Severe asthma and dust related lung disease codes,84,Respiratory assessments
Diagnoses and findings (including resolved and remission),Asthma diagnosis codes,54,Respiratory assessments
Diagnoses and findings (including resolved and remission),Chronic obstructive pulmonary disease (COPD) codes,28,Respiratory assessments
Diagnoses and findings (including resolved and remission),Chronic respiratory disease codes,28,Respiratory assessments
Diagnoses and findings (including resolved and remission),Chronic obstructive pulmonary disease (COPD) emphysema and associated lung diseases codes,28,Respiratory assessments
Diagnoses and findings (including resolved and remission),Chronic respiratory disease (CRD) codes,28,Respiratory assessments
Review and monitoring,Codes for chronic obstructive pulmonary disease (COPD) review,6,Respiratory assessments
Investigations test and results,Spirometry codes for chronic obstructive pulmonary disease (COPD),2,Respiratory assessments
Observation measurement assessment and screening,Spirometry codes for asthma,2,Respiratory assessments
Observation measurement assessment and screening,Frailty assessment codes,16002,Risk scores
Observation measurement assessment and screening,Cardiovascular disease (CVD) risk assessment codes,12273,Risk scores
Observation measurement assessment and screening,Cardiovascular disease (CVD) risk assessment done,12274,Risk scores
Observation measurement assessment and screening,Stroke risk assessment using CHA2DS2-VASc,3023,Risk scores
Observation measurement assessment and screening,HASBLED score codes,695,Risk scores
Observation measurement assessment and screening,Stroke risk assessment using CHADS2,185,Risk scores
Observation measurement assessment and screening,Anxiety screening codes,3779,Risk scores
Observation measurement assessment and screening,Depression screening codes,2693,Risk scores
Observation measurement assessment and screening,Cardiovascular disease (CVD) risk assessment codes greater than 20 per cent,1,Risk scores
Diagnoses and findings (including resolved and remission),Learning disability (LD) codes,1,Risk scores
Diagnoses and findings (including resolved and remission),DownÆs syndrome codes,1,Risk scores
Vaccinations and immunisations,Pneumococcal vaccination codes,21,Vaccinations
Vaccinations and immunisations,MMR first dose vaccination codes,3,Vaccinations
Vaccinations and immunisations,MMR second dose vaccination codes,3,Vaccinations
